LPm3,LPm4,LPm5,LPm6,LPm7,LPm8,LPm9,LPm10,LPm11,LPm12,LPm14,LPm15,LPm16,LPm18,LPm20,LPm22,LPm24,LPm30,Pm3,Pm4,Pm5,Pm6,Pm7,Pm8,Pm9,Pm10,Pm11,Pm12,Pm14,Pm15,Pm16,Pm18,Pm20,Pm22,Pm24,Pm30
1,1,2,1,3,5,7,7,7,1,3,7,5,7,17,7,13,7,1,1,4,1,1,1,1,9,8,1,1,4,1,1,9,19,1,19
1,1,4,1,1,1,1,9,8,1,1,4,1,1,9,19,1,19,2,1,3,5,5,5,5,3,1,5,5,8,5,5,13,1,5,23
2,1,3,5,5,5,5,3,1,5,5,8,5,5,13,1,5,23,2,3,4,5,4,3,2,9,7,11,11,14,11,11,19,7,11,29
2,3,4,5,4,3,2,9,7,11,11,14,11,11,19,7,11,29,1,1,1,1,6,5,4,1,9,1,13,1,13,13,1,9,13,1
1,1,1,1,6,5,4,1,9,1,13,1,13,13,1,9,13,1,2,3,1,5,2,7,5,1,8,11,9,11,7,5,11,19,23,11
2,3,1,5,2,7,5,1,8,11,9,11,7,5,11,19,23,11,1,1,3,1,4,1,7,3,10,1,11,13,9,7,13,21,1,13
1,1,3,1,4,1,7,3,10,1,11,13,9,7,13,21,1,13,1,3,4,1,3,7,4,9,5,7,3,4,15,13,19,5,7,19
1,3,4,1,3,7,4,9,5,7,3,4,15,13,19,5,7,19,2,1,4,5,6,1,5,9,4,5,13,14,9,5,9,15,17,29
2,1,4,5,6,1,5,9,4,5,13,14,9,5,9,15,17,29,1,3,1,1,1,3,7,1,6,7,1,1,11,7,11,17,19,1
1,3,1,1,1,3,7,1,6,7,1,1,11,7,11,17,19,1,2,1,1,5,4,5,8,1,5,5,11,11,5,17,1,5,5,11
2,1,1,5,4,5,8,1,5,5,11,11,5,17,1,5,5,11,1,3,3,1,6,7,1,3,7,7,13,13,7,1,3,7,7,13
1,3,3,1,6,7,1,3,7,7,13,13,7,1,3,7,7,13,1,1,4,1,5,5,7,9,2,1,5,4,13,7,9,13,13,19
1,1,4,1,5,5,7,9,2,1,5,4,13,7,9,13,13,19,1,3,2,1,2,7,7,7,9,7,9,7,15,7,7,9,7,7
1,3,2,1,2,7,7,7,9,7,9,7,15,7,7,9,7,7,2,3,1,5,6,3,2,1,2,11,13,11,3,11,11,13,11,11
2,3,1,5,6,3,2,1,2,11,13,11,3,11,11,13,11,11,1,1,3,1,1,5,4,3,4,1,1,13,5,13,13,15,13,13
